Wavelength,Amount of light blocked
0.6171548,14166.3405
0.6235835,14276.3394
0.6278693,13969.6758
0.6385838,14049.675
0.6450125,13953.0093
0.6535841,13959.6759
0.6600128,14099.6745
0.6685844,14153.0073
0.6750131,14286.3393
0.677156,14233.0065
0.6878705,14213.0067
0.6964421,14303.0058
0.7028708,14569.6698
0.7114424,14503.0038
0.7157282,14293.0059
0.7242998,14286.3393
0.7350143,14259.6729
0.741443,14486.3373
0.7500146,14226.3399
0.7585862,14409.6714
0.7671578,14289.6726
0.7735865,14183.007
0.7821581,14146.3407
0.7907297,14449.671
0.7993013,14513.0037
0.80573,14083.008
0.8143016,14166.3405
0.827159,14186.3403
0.8335877,14253.0063
0.8443022,14423.0046
0.8507309,14209.6734
0.8593025,14129.6742
0.8743028,14146.3407
0.8807315,13919.6763
0.891446,14033.0085
0.9021605,14163.0072
0.9107321,14243.0064
0.9193037,14309.6724
0.9300182,14196.3402
0.9428756,14393.0049
0.9535901,14303.0058
0.9643046,14263.0062
0.9750191,14193.0069
0.9857336,14319.6723
0.998591,14146.3407
1.0071626,14226.3399
1.0221629,14243.0064
1.0307345,14353.0053
1.041449,14263.0062
1.0543064,14296.3392
1.062878,14206.3401
1.0800212,14213.0067
1.0885928,14266.3395
1.1014502,14373.0051
1.1185934,14383.005
1.127165,14356.3386
1.1400224,14399.6715
1.1528798,14426.3379
1.1657372,14336.3388
1.1764517,14369.6718
1.191452,14243.0064
1.2043094,14186.3403
1.2171668,14149.674
1.2321671,14163.0072
1.2450245,14306.3391
1.2578819,14283.006
1.2728822,14193.0069
1.2857396,14153.0073
1.3028828,14183.007
1.3157402,14243.0064
1.3307405,14289.6726
1.3457408,14049.675
1.3607411,14346.3387
1.3735985,14476.3374
1.3885988,14433.0045
1.4035991,14506.3371
1.4185994,14453.0043
1.4185994,14449.671
1.4378855,14459.6709
1.4507429,14483.004
1.4507429,14479.6707
1.470029,14389.6716
1.4807435,14313.0057
1.4978867,14226.3399
1.5171728,14326.3389
1.534316,14376.3384
1.5471734,14143.0074
1.5643166,14169.6738
1.5793169,14093.0079
1.598603,14076.3414
1.6157462,14126.3409
1.6350323,14113.0077
1.6500326,13926.3429
1.6714616,13996.3422
1.6907477,13949.676
1.7078909,13896.3432
1.7250341,14123.0076
1.7443202,14196.3402
1.7614634,14093.0079
1.7807495,13999.6755
1.8000356,14079.6747
1.8193217,14006.3421
1.8386078,14373.0051
1.8578939,14193.0069
1.8793229,14366.3385
1.898609,14276.3394
1.9221809,14296.3392
1.941467,14466.3375
1.9607531,14256.3396
1.984325,14486.3373
2.0036111,14163.0072
2.027183,14133.0075
2.048612,13959.6759
2.070041,13619.6793
2.0936129,13746.3447
2.112899,13593.0129
2.1386138,13936.3428
2.1600428,14193.0069
2.1793289,14013.0087
2.2071866,13769.6778
2.2264727,14019.6753
2.2521875,13836.3438
2.2757594,14249.673
2.2993313,14473.0041
2.3250461,14483.004
2.3507609,14203.0068
2.3743328,14649.669
2.4000476,14306.3391
2.4257624,14183.007
2.4514772,14686.3353
2.477192,14319.6723
2.5286216,14643.0024
2.6079089,14696.3352
2.6379095,14433.0045
2.6679101,14003.0088
2.6957678,14123.0076
2.7193397,14153.0073
2.7514832,14523.0036
2.7814838,13829.6772
